Common_Name,Species,Phylum,Class,Order,Family,Chromossome_number_F,Chromossome_number_M,Genes_coding,Genes_non_coding,SRY,Lifespan,Diet,Accesory_glands_number,B,P,S,A,CG,Combined_Accessory_gland_mass,Acessory_glands_BW,Male_Body_mass,Combined_testis_mass,testis_BW,Testis_location,epidydydmis,Combined_epididymis_weight,epidydymis_BW,Penis_Bulbus_glands,penis,penis_bone,Penis_morphology,Ejaculation_site,Ejaculate_characteristics,Fractioned_Ejaculate,Seminiferous_epithelium_cycle_length,spermatogenesis_lenght,epididymal_transit/maturation_length,sperm_head_length,sperm_size_total,sperm_head_shape,Sperm_number_cauda,Sperm_Concentration_ejaculate,Ejaculate_collection_method,Ejaculate_volume,Total_sperm_ejaculate,Motility,Normal,Viability,Sperm_storage,Intromission_duration,Multiple_intromission,mating_strategy,Induced_ovulation,solitary_group,offspring_number,seasonality,multiples_males,earliest_puberty_age_M,earliest_puberty_age_F,Female_Body_Mass,multiple_ovulation,oocyte_stage_ovulation,diapause,oviduct,oviduct_lenght,internal_external_fertilization,Cycle_Length,Length_receptvivity,reproductive_senescence_F,gestation_length,Combined_ovary_weight,ovary_BW,uterus_morphology,folliculogenesis_length,placenta_morphology,placenta_molecular,Age_eyes_open,Lactation_length,Endangered_Status,Population,Hemisphere
Warthog,Phacochoerus africanus,Chordata,Mammalia,Artiodactyla,Suidae,34,34,NA,NA,,20.9,O,,Y,Y,,,,31.9,0.021,150000,164.8,0.11,E,Y,,,,Y,N,F,C,,,,,,8.21,50.8,P,1290,NA,NA,NA,NA,NA,NA,NA,,,,PG,N,G,M,W,,18,18,105000,Y,,N,Y,,I,35,3,,167.5,,,BP,,DF,EC,0,24,LC,22250,S
Javan pig,Sus verrucosus,Chordata,Mammalia,Artiodactyla,Suidae,38,38,NA,NA,,17,O,,Y,Y,,,,,,108200,,,E,Y,,,,Y,N,F,C,,,,,,9.95,57.95,O,NA,NA,NA,NA,NA,NA,NA,NA,,,,PG,N,G,M,S,,60,9.13,44000,Y,,N,Y,,I,NA,NA,,122,,,BP,,DF,EC,0,14,EN,NA,S
Grey Wolf,Canis lupus,Chordata,Mammalia,Carnivora,Canidae,78,78,20593,15499,,20,C,1,,Y,N,,,,,42872,44.28,0.1,E,Y,,,Y,Y,Y,M,V,N,,,54,,5.55,56.3,R,NA,126.51,EE,15,1897.7,89,77,87,11,,,SM,N,G,M,W,N,7,6,39300,Y,GV,N,Y,55,I,113,7,,63,,,BC,170,Z,EC,14,8,LC,471000000,A
Coyote,Canis latrans,Chordata,Mammalia,Carnivora,Canidae,78,78,NA,NA,,19.9,C,,,Y,N,,,,,12300,15.4,0.13,E,Y,,,,Y,Y,M,,N,,13.6,61.2,14,NA,NA,NA,NA,384.94,EE,1.33,513.25,78.7,78.8,73.94,,,,SM,N,G,M,W,N,9,9,12500,Y,,N,Y,,I,126,7.6,,61.5,,,BC,,Z,EC,12,30,LC,NA,N
African Wild/painted Dog,Lycaon pictus,Chordata,Mammalia,Carnivora,Canidae,78,78,NA,NA,,17,C,,,Y,N,,,,,26000,,,E,Y,,,,Y,Y,M,,N,,,,,NA,NA,R,NA,212,EE,0.6,127.2,69.5,76.2,81,,,,SM,N,G,M,W,N,21.3,21.3,26000,Y,,N,Y,,I,91,5,,71,,,BC,,Z,EC,21,10,EN,1409,S
Maned wolf,Chrysocyon brachyurus,Chordata,Mammalia,Carnivora,Canidae,76,76,NA,NA,,16.8,C,,,Y,N,,,,,27250,12.7,0.05,E,Y,,,,Y,Y,M,,N,,8.99,40.46,,5.1,56,O,NA,56.84,AV,1.3,73.89,76.1,36.5,82,,,,SM,N,S,M,W,,,24.33,23000,Y,GV,N,Y,,I,100,10,,65,,,BC,,Z,EC,9,15,NT,17000,S
Dog,Canis familiaris,Chordata,Mammalia,Carnivora,Canidae,78,78,20949,15885,,20,C,2,N,Y,N,Y,N,9.43,0.044,21620,18.59,0.09,E,Y,,,Y,Y,Y,M,U,,,13.6,61.2,,5.8,55.3,O,2119,151.4,AV,4.79,725.21,84,75,92,11,858.00,N,SM,N,G,M,N,Y,6,6,12450,Y,GV,N,Y,,I,180,9,,63,,,BC,,Z,EC,12,8,LC,900000000,A
Cat,Felis catus,Chordata,Mammalia,Carnivora,Felidae,38,38,19748,11669,,30,C,2,Y,Y,N,,,,,3100,2.33,0.08,E,Y,0.31,0.01,,Y,y,M,,N,N,10.4,46.8,,5,53,O,282.6,223.8,EE,0.09,19.92,82,75,81,,,N,PG,Y,S,M,S,Y,8,4,3231,Y,MII,N,Y,,I,14,5,,64,,,BC,,Z,EC,12,8,LC,400000000,A
Tiger,Panthera tigris,Chordata,Mammalia,Carnivora,Felidae,38,38,18573,2975,,17,C,,Y,Y,N,,,,,340500,24.4,0.01,E,Y,,,,Y,y,M,,,,,,,3.95,59.25,R,53.3,75.98,EE,5.8,440.7,80.2,75.1,71.65,,,N,PG,Y,S,M,S,N,48,36,133500,Y,,N,Y,,I,25,5.3,,108,,,BC,,Z,EC,10,18,EN,3159,A
Lions,Panthera leo,Chordata,Mammalia,Carnivora,Felidae,38,38,19491,8948,,20.2,C,,Y,Y,N,,,,,204000,27.6,0.01,E,Y,,,,Y,y,M,,,,,,,4.2,54.7,R,2930,1940,EE,0.42,820.35,60,44,66.3,,,,SP,Y,G,M,N,N,,,152000,Y,,N,Y,,I,17.5,4.4,,110,,,BC,,Z,EC,0,32,VU,39000,A
Jaguar,Panthera onca,Chordata,Mammalia,Carnivora,Felidae,38,38,NA,NA,,20,C,,,Y,N,,,,,98500,31.5,0.03,E,Y,,,,Y,y,M,,,,12.8,57.6,,3.8,55.7,O,NA,21.5,EE,6.2,133.3,68.5,61.75,NA,,,,PG,Y,S,M,N,,24,22,68000,Y,,N,Y,,I,38.28,10.42,,99,,,BC,,Z,EC,8,22,NT,173000,A
Eurasian Lynx,Lynx lynx,Chordata,Mammalia,Carnivora,Felidae,38,38,NA,NA,,26.8,C,,,Y,N,,,,,24000,4.4,0.02,E,Y,,,,Y,y,M,,,,,,,NA,NA,NA,16.3,6.07,EE,0.3,1.84,72.33,16.83,NA,,,,SP,Y,S,M,W,N,36,24,14500,Y,,N,Y,,I,NA,4.5,168,70.5,0.99,0.0069,BC,,Z,EC,11,10,LC,50000,N
Iberian Lynx,Lynx pardinus,Chordata,Mammalia,Carnivora,Felidae,38,38,NA,NA,,13,C,,,Y,N,,,,,11450,2.1,0.02,E,Y,,,,Y,,,,,Y,,,,5,65,O,10.2,15.93,EE,0.47,7.54,79.77,35.03,46.4,,,,SP,Y,S,M,W,,36,36,9600,Y,,N,Y,,I,NA,5,,68,,,BC,,Z,EC,19.16,9.14,EN,156,N
Clouded leopard,Neofelis nebulosa,Chordata,Mammalia,Carnivora,Felidae,38,38,NA,NA,,14,C,,,Y,N,,,,,23000,,,E,Y,,,,Y,y,M,,,,,,,3.4,45,O,NA,43,EE,1.02,43.86,73.2,18.5,78.8,,,,NA,Y,S,M,N,,16,17,12000,Y,,N,Y,,I,29.9,6,144,93,,,BC,,Z,EC,10,12,VU,5580,A
Cheetah,Acinonyx jubatus,Chordata,Mammalia,Carnivora,Felidae,38,38,19529,11000,,17,C,,,Y,N,,,,,43700,15.51,0.04,E,Y,,,,Y,y,M,,,,,,,3.5,51.4,R,NA,33.1,AV,2.26,74.81,74,24,NA,,,,PG,Y,S,M,N,Y,18,24,49000,Y,,N,Y,,I,12,4,,94,,,BC,,Z,EC,7.5,18,VU,6674,A
Spotted hyena,Crocuta crocuta,Chordata,Mammalia,Carnivora,Hyaenidae,40,40,NA,NA,,40,C,,,Y,N,,,,,45000,19.4,0.04,E,Y,,,,Y,N,,,,,,,,4.1,53.7,O,NA,18.52,EE,6.4,118.53,56.47,NA,NA,,302.90,Y,SP,N,G,M,N,Y,24,21,67038,Y,,N,Y,,I,23,2.5,192,110,,,BC,,V,HC,0,55,LC,47000,S
