Common_Name,Species,Phylum,Class,Order,Family,Accesory_glands_number,Combined_Accessory_gland_mass_(g),Acessory_glands_%BW,Male_Body_mass_(g),Combined_testis_mass_(g),testis_%BW,Combined_epididymis_weight_(g),epidydymis_%BW,Seminiferous_epithelium_cycle_length_(days),spermatogenesis_lenght_(days),epididymal_transit/maturation_length_(days),sperm_head_length_(um),sperm_head_tail,Sperm_number_cauda_(M),Sperm_Concentration_ejaculate_(M/ml),Ejaculate_volume_(mL),Total_sperm_ejaculate_(M),Motility,Normal,Viability,earliest_puberty_age _M_(months),Male_Body_mass_(g)
California Sea Lion,Zalophus californianus,Chordata,Mammalia,Carnivora,Otariidae,,,,350000,,,,,,,,4,36,NA,NA,NA,NA,NA,NA,NA,48.00,350000.00
Common brushtail possum,Trichosurus vulpecula,Chordata,Mammalia,Diprotodontia,Phalangeridae,2,28.91,0.83,3500,5.38,0.15,,,13.5,60.75,11,5.53,94.17,218.33,NA,NA,NA,NA,NA,NA,24.00,3500.00
Gray Seal,Halichoerus grypus,Chordata,Mammalia,Carnivora,Phocidae,,,,400000,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.00,400000.00
Vaquita,Phocoena sinus,Chordata,Mammalia,Artiodactyla,Phocoenidae,,,,46500,950,2.04,100,0.22,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.00,46500.00
Gorilla,Gorilla gorilla,Chordata,Mammalia,Primates,Pongidae,,,,134000,23.2,0.02,,,,,,4.78,61.17,NA,39.5,0.4,15.8,38,47,53,132.00,134000.00
Chimpanzee,Pan troglodytes,Chordata,Mammalia,Primates,Pongidae,,,,44340,118.8,0.27,,,14,63,,4.68,57.36,984,2561,3.4,8707.4,65.5,98,78,,44340.00
White rhinoceros,Ceratotherium simum,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,3,,,2140000,,,,,,,,5,47.9,NA,45.17,79.8,3604.3,83,53,59,36.00,2140000.00
Greater Horseshoe Bat,Rhinolophus ferrumequinum,Chordata,Mammalia,Chiroptera,Rhinolophidae,5,,,24,0.02,0.08,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00,24.00
Blind Mole Rat,Spalax ehrenbergi,Chordata,Mammalia,Rodentia,Spalacidae,2,22.14,9.84,225,,,,,,,,4,47,NA,NA,NA,NA,NA,NA,NA,,225.00
Pig,Sus Scrofa domesticus,Chordata,Mammalia,Artiodactyla,Suidae,3,38.09,0.01,368500,142.23,0.04,84.6,0.02,9.05,40.73,11.1,8.5,54.6,114366.67,374.23,231.98,86813.88,80,97,85,20.00,368500.00
Wild boar,Sus scrofa scrofa,Chordata,Mammalia,Artiodactyla,Suidae,3,,,87500,278.7,0.32,66.1,0.08,9.1,40.95,,8.4,NA,NA,300,190,57000,80,91.5,95.7,7.50,87500.00
Warthog,Phacochoerus africanus,Chordata,Mammalia,Artiodactyla,Suidae,,31.9,0.02,150000,164.8,0.11,,,,,,8.21,50.8,1290,NA,NA,NA,NA,NA,NA,18.00,150000.00
Javan pig,Sus verrucosus,Chordata,Mammalia,Artiodactyla,Suidae,,,,108200,,,,,,,,9.95,57.95,NA,NA,NA,NA,NA,NA,NA,60.00,108200.00
Short-beaked echidna,Tachyglossus aculeatus,Chordata,Mammalia,Monotremata,Tachyglossidae,2,,,3700,9.19,0.25,,,13.8,62.1,14.1,50.2,121.33,NA,4750,NA,NA,NA,NA,NA,,3700.00
Central American tapir,Tapirus bairdii,Chordata,Mammalia,Perissodactyla,Tapiridae,3,,,290000,28.37,0.01,,,,,,6,63,NA,101.2,20.4,2064.48,46,6.9,NA,24.00,290000.00
Lowland Tapir,Tapirus terrestris,Chordata,Mammalia,Perissodactyla,Tapiridae,,,,225000,,,,,,,,NA,NA,NA,141,13,1833,65,72,65,,225000.00
Brown bear,Ursus arctos,Chordata,Mammalia,Carnivora,Ursidae,,,,208400,68.6,0.03,19,0.01,,,,7,66,640,185.28,2.45,453.94,77.17,78,90,42.00,208400.00
Polar bear,Ursus maritimus,Chordata,Mammalia,Carnivora,Ursidae,,,,410000,143.4,0.03,,,,,,5,47,NA,630,0.51,320.67,64,NA,NA,42.00,410000.00
Sloth bear,Melursus ursinus,Chordata,Mammalia,Carnivora,Ursidae,,,,140600,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.50,140600.00
Giant Panda,"Ailuropoda melanoleuca
",Chordata,Mammalia,Carnivora,Ursidae,,,,111700,330,0.3,,,,,,4,50.78,459.38,1500,1.5,2250,79,86,84,66.00,111700.00
