Common_Name,Species,Phylum,Class,Order,Family,earliest_puberty_age_F_(months),Female_Body_Mass_(g),oviduct_lenght_(mm),Cycle_Length_(days),Length_receptvivity_(days),reproductive_senescence_F_(months),gestation_length_(days),Combined_ovary_weight_(g),ovary_%BW,folliculogenesis _length_(days),Age_eyes_open_(days),Lactation_length_(weeks)
Tufted deer,Elaphodus cephalophus,Chordata,Mammalia,Cetartiodactyla,Cervidae,9.50,40000.00,,NA,NA,144.00,187.50,,,,0.00,
Thorold's deer,Cervus albirostris,Chordata,Mammalia,Cetartiodactyla,Cervidae,17.00,160000.00,121.90,NA,NA,,235.00,,,,0.00,
Indian Hog Deer,Axis porcinus porcinus,Chordata,Mammalia,Cetartiodactyla,Cervidae,8.00,54000.00,78.76,16.00,2.00,,240.00,,,,0.00,24.00
Swamp deer,Rucervus duvaucelii,Chordata,Mammalia,Cetartiodactyla,Cervidae,24.00,145000.00,48.24,21.30,1.50,,245.00,,,,0.00,24.00
Reeves's muntjac,Muntiacus reevesi,Chordata,Mammalia,Cetartiodactyla,Cervidae,6.00,6800.00,,16.00,NA,,210.00,,,,0.00,24.00
Indian muntjac,Muntiacus muntjak,Chordata,Mammalia,Cetartiodactyla,Cervidae,6.00,22000.00,33.44,16.00,2.00,,180.00,,,,0.00,
Six-banded armadillo,Euphractus sexcinctus,Chordata,Mammalia,Cingulata,Chlamyphoridae,9.00,4850.00,,23.50,NA,,68.00,,,,23.50,18.00
Golden Hamster,Mesocricetus auratus,Chordata,Mammalia,Rodentia,Cricetidae,1.50,110.00,,4.00,0.50,,16.00,,,,16.00,3.50
Nine-banded armadillo,Dasypus novemcinctus,Chordata,Mammalia,Cingulata,Dasypodidae,15.00,4760.00,,NA,NA,,120.00,,,,0.00,17.00
Common Bottlenose Dolphin,Tursiops truncatus,Chordata,Mammalia,Artiodactyla,Delphinidae,102.00,175000.00,,31.50,10.00,501.60,365.00,7.80,0.00,,0.00,76.00
Orca/killer whale,Orcinus orca,Chordata,Mammalia,Artiodactyla,Delphinidae,204.00,4250000.00,,41.00,NA,510.00,517.00,,,,0.00,72.00
Virginia Opossum,Didelphis virginiana,Chordata,Mammalia,Didelphimorphia,Didelphidae,6.00,2000.00,,28.00,1.50,,13.00,,,,60.00,8.50
African elephant,Loxodonta africana,Chordata,Mammalia,Proboscidea,Elephantidae,96.00,2510000.00,,136.50,3.00,828.00,653.00,,,,0.00,182.00
Asian elephant,Elephas maximus,Chordata,Mammalia,Proboscidea,Elephantidae,,2636000.00,,108.00,2.50,636.00,608.00,,,,0.00,104.00
Horse,Equus caballus,Chordata,Mammalia,Perissodactyla,Equidae,12.00,320000.00,,22.00,6.00,,349.00,,,,0.00,24.00
Donkey,Equus asinus,Chordata,Mammalia,Perissodactyla,Equidae,12.00,220000.00,,24.00,6.30,192.00,380.00,,,,0.00,28.00
Cat,Felis catus,Chordata,Mammalia,Carnivora,Felidae,4.00,3231.00,,14.00,5.00,,64.00,,,,12.00,8.00
Tiger,Panthera tigris,Chordata,Mammalia,Carnivora,Felidae,36.00,133500.00,,25.00,5.30,,108.00,,,,10.00,18.00
Lions,Panthera Leo,Chordata,Mammalia,Carnivora,Felidae,,152000.00,,17.50,4.40,,110.00,,,,0.00,32.00
Jaguar,Panthera onca,Chordata,Mammalia,Carnivora,Felidae,22.00,68000.00,,38.28,10.42,,99.00,,,,8.00,22.00
Eurasian Lynx,Lynx lynx,Chordata,Mammalia,Carnivora,Felidae,24.00,14500.00,,NA,4.50,168.00,70.50,0.99,0.01,,11.00,10.00
Iberian Lynx,Lynx pardinus,Chordata,Mammalia,Carnivora,Felidae,36.00,9600.00,,NA,5.00,,68.00,,,,19.16,9.14
Clouded leopard,Neofelis nebulosa,Chordata,Mammalia,Carnivora,Felidae,17.00,12000.00,,29.90,6.00,144.00,93.00,,,,10.00,12.00
Cheetah,Acinonyx jubatus,Chordata,Mammalia,Carnivora,Felidae,24.00,49000.00,,12.00,4.00,,94.00,,,,7.50,18.00
Naked Mole Rat,Heterocephalus glaber,Chordata,Mammalia,Rodentia,Heterocephalidae,7.00,71.00,,34.00,1.00,,70.00,,,,30.00,6.00
Hippo,Hippopotamus amphibius,Chordata,Mammalia,Artiodactyla,Hippopotamidae,43.00,1400000.00,425.00,33.50,NA,,233.50,,,,0.00,48.71
Humans,Homo sapiens ,Chordata,Mammalia,Primates,Hominidae,120.00,62100.00,24.00,28.00,28.00,516.00,280.00,6.00,0.01,290.00,0.00,
Spotted hyena,Crocuta crocuta,Chordata,Mammalia,Carnivora,Hyaenidae,21.00,67038.00,,23.00,2.50,192.00,110.00,,,,0.00,55.00
Ring-tailed lemur,Lemur catta,Chordata,Mammalia,Primates,Lemuridae,18.00,2200.00,,39.30,1.50,,136.00,,,,0.00,21.00
Common brown lemur,Eulemur fulvus,Chordata,Mammalia,Primates,Lemuridae,12.00,2500.00,,30.00,1.00,,120.00,,,,0.00,19.00
European Hare,Lepus europaeus,Chordata,Mammalia,Lagomorpha,Leporidae,4.00,3430.00,,NA,NA,,41.50,,,,0.00,14.00
European Rabbit,Oryctolagus cuniculus,Chordata,Mammalia,Lagomorpha,Leporidae,4.00,1540.00,,7.00,NA,,31.50,,,,11.00,4.50
Eastern Cottontail,Sylvilagus floridanus,Chordata,Mammalia,Lagomorpha,Leporidae,,1200.00,,NA,NA,,27.00,,,,7.00,3.50
Greater Slow loris,"Nycticebus coucang
",Chordata,Mammalia,Primates,Lorisidae,17.00,640.00,,36.40,1.55,,191.00,,,,0.00,
Tammar Wallaby,Macropus eugenii,Chordata,Mammalia,Diprotodontia,Macropodidae,9.75,4500.00,,30.60,1.50,,26.50,,,,142.00,46.00
